Al-naqoura,309,76
Safad,364,97
Acre,305,108
Sakhnin,334,112
Haifa,294,130
Shafa-Amr,313,135
Tibrias,368,130
Nazareth,333,148
Om-Alfahem,307,170
Afula,334,164
Bisan,362,180
Alkhadira,276,183
Janin,335,190
Tubas,349,201
Qabatia,336,201
Om-Khalid,272,201
Tulkarm,298,215
Al-Haram,266,220
Qalqilya,297,228
Nablus,338,223
Malbas,276,240
Tal-Alrabeea,261,248
Salfeet,297,254
Yafo,257,261
Birzeit,321,265
Lydda,278,274
Ramla,272,284
Ramallah,321,292
Al-Birah,338,288
Jerusalem,330,311
Beit-Shams,260,318
Beit-Jala,290,322
Bethlehem,318,325
Al-Majdal,232,330
Halhul,303,343
Al-Faluja,246,347
Gaza,209,363
Dura,277,364
Hebron,301,359
Deir-Albalah,197,374
Yatta,299,377
Al-Dahriya,272,384
Khan-Yunis,186,392
Al-Hazeel,250,390
Rafah,189,414
BeerSheba,258,409
Jericho,360,296
Asdood,238,303
Negev,262,490
